Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1707004800000,2024-02-04,1INCHBTC,9.5e-06,9.52e-06,9.12e-06,9.14e-06,144489.7,1.34329092,717
1706918400000,2024-02-03,1INCHBTC,9.52e-06,9.62e-06,9.15e-06,9.52e-06,162563.1,1.52729902,793
1706832000000,2024-02-02,1INCHBTC,8.87e-06,9.55e-06,8.87e-06,9.49e-06,304447.8,2.81563798,1456
1706745600000,2024-02-01,1INCHBTC,9.18e-06,9.18e-06,8.86e-06,8.88e-06,188734.2,1.69445029,898
1706659200000,2024-01-31,1INCHBTC,9.57e-06,9.99e-06,9.14e-06,9.18e-06,647740.2,6.1652086,2904
1706572800000,2024-01-30,1INCHBTC,9.48e-06,9.88e-06,9.34e-06,9.56e-06,400073.2,3.83517417,2343
1706486400000,2024-01-29,1INCHBTC,9.14e-06,9.66e-06,9.14e-06,9.49e-06,236004.0,2.23107974,3476
1706400000000,2024-01-28,1INCHBTC,9.48e-06,9.66e-06,9.13e-06,9.17e-06,183540.5,1.70475892,983
1706313600000,2024-01-27,1INCHBTC,9.4e-06,9.56e-06,9.23e-06,9.48e-06,158577.4,1.49361685,1496
1706227200000,2024-01-26,1INCHBTC,9.43e-06,9.57e-06,9.25e-06,9.39e-06,372974.3,3.49666558,1138
1706140800000,2024-01-25,1INCHBTC,9.5e-06,9.52e-06,9.28e-06,9.44e-06,183467.6,1.72764966,1558
1706054400000,2024-01-24,1INCHBTC,9.32e-06,9.53e-06,9.24e-06,9.49e-06,164159.2,1.54358452,1113
1705968000000,2024-01-23,1INCHBTC,9.66e-06,9.69e-06,9.09e-06,9.33e-06,353579.7,3.32265791,1923
1705881600000,2024-01-22,1INCHBTC,1.008e-05,1.008e-05,9.54e-06,9.66e-06,429131.2,4.15870025,1722
1705795200000,2024-01-21,1INCHBTC,1.017e-05,1.031e-05,1.002e-05,1.004e-05,317954.4,3.24551291,2136
1705708800000,2024-01-20,1INCHBTC,9.96e-06,1.029e-05,9.85e-06,1.016e-05,243864.2,2.43834523,2000
1705622400000,2024-01-19,1INCHBTC,1.03e-05,1.031e-05,9.77e-06,9.98e-06,542710.7,5.40817112,4152
1705536000000,2024-01-18,1INCHBTC,1.068e-05,1.072e-05,1.019e-05,1.028e-05,307598.6,3.22154789,2134
1705449600000,2024-01-17,1INCHBTC,1.1e-05,1.11e-05,1.057e-05,1.069e-05,239086.7,2.56857169,1216
1705363200000,2024-01-16,1INCHBTC,1.091e-05,1.104e-05,1.054e-05,1.097e-05,235999.9,2.54234546,1209
1705276800000,2024-01-15,1INCHBTC,1.104e-05,1.143e-05,1.08e-05,1.087e-05,429590.9,4.75785485,1913
1705190400000,2024-01-14,1INCHBTC,1.141e-05,1.18e-05,1.084e-05,1.103e-05,1148810.5,12.62615831,2525
1705104000000,2024-01-13,1INCHBTC,1.123e-05,1.176e-05,1.072e-05,1.141e-05,410408.0,4.64733018,1994
1705017600000,2024-01-12,1INCHBTC,1.111e-05,1.123e-05,1.062e-05,1.122e-05,705328.3,7.66818324,2730
1704931200000,2024-01-11,1INCHBTC,9.81e-06,1.133e-05,9.77e-06,1.109e-05,1906669.9,19.87700628,5579
1704844800000,2024-01-10,1INCHBTC,8.94e-06,9.8e-06,8.94e-06,9.8e-06,643275.5,5.99210251,3875
1704758400000,2024-01-09,1INCHBTC,9.45e-06,9.71e-06,8.58e-06,8.96e-06,724217.0,6.56050954,3009
