Datetime,AirTemperature,CloudOpacity,DHI,DNI,EBH,GHI,Production - Kraljevo Location
11/22/2022 14:00,6.099999905,91,68,1.100000024,1,69,31.24683333
11/22/2022 15:00,5.900000095,71,55,4.5,1,56,3.48025
11/22/2022 16:00,5.199999809,100,19,1.5,0,19,0
11/22/2022 17:00,5.099999905,79,0,0,0,0,0
11/22/2022 18:00,5,60,0,0,0,0,0
11/22/2022 19:00,5,44,0,0,0,0,0
11/22/2022 20:00,5.300000191,55,0,0,0,0,0
11/22/2022 21:00,5.5,91,0,0,0,0,0
11/22/2022 22:00,5.599999905,52,0,0,0,0,0
11/22/2022 23:00,5.300000191,49,0,0,0,0,0
11/23/2022 0:00,5.099999905,56,0,0,0,0,0
11/23/2022 1:00,4.900000095,53,0,0,0,0,0
11/23/2022 2:00,4.800000191,33,0,0,0,0,0
11/23/2022 3:00,4.5,38,0,0,0,0,0
11/23/2022 4:00,4.599999905,93,0,0,0,0,0
11/23/2022 5:00,4.599999905,74,0,0,0,0,0
11/23/2022 6:00,4.5,57,0,0,0,0,1.288416667
11/23/2022 7:00,4.599999905,58,1,0,0,1,45.00491667
11/23/2022 8:00,5.400000095,82,30,36.70000076,8,38,141.8610833
11/23/2022 9:00,6.099999905,61,58,56.40000153,10,68,188.9400833
11/23/2022 10:00,8,62,96,81.09999847,49,145,180.8174167
11/23/2022 11:00,9.5,75,135,228.6000061,126,261,191.7416667
11/23/2022 12:00,10.5,50,152,264.7999878,92,244,224.0813333
11/23/2022 13:00,10.39999962,48,115,225.3000031,96,211,173.71225
11/23/2022 14:00,9.300000191,77,73,173.6000061,37,110,73.78408333
11/23/2022 15:00,8.300000191,100,64,122.8000031,32,96,21.538
11/23/2022 16:00,7.300000191,100,19,92.80000305,7,26,0.108
11/23/2022 17:00,6.599999905,100,0,0.100000001,0,0,0
11/23/2022 18:00,6,100,0,0,0,0,0
11/23/2022 19:00,5.599999905,100,0,0,0,0,0
11/23/2022 20:00,5.400000095,100,0,0,0,0,0
11/23/2022 21:00,5,100,0,0,0,0,0
11/23/2022 22:00,4.599999905,100,0,0,0,0,0
11/23/2022 23:00,4.300000191,100,0,0,0,0,0
11/24/2022 0:00,3.900000095,100,0,0,0,0,0
11/24/2022 1:00,3.700000048,100,0,0,0,0,0
11/24/2022 2:00,3.400000095,100,0,0,0,0,0
11/24/2022 3:00,3.200000048,100,0,0,0,0,0
11/24/2022 4:00,3,100,0,0,0,0,0
11/24/2022 5:00,2.799999952,100,0,0,0,0,0
11/24/2022 6:00,2.400000095,47,0,0,0,0,0.926
11/24/2022 7:00,1.899999976,21,1,0,0,1,53.355
11/24/2022 8:00,3.099999905,72,31,0,24,55,127.9020833
11/24/2022 9:00,5.099999905,100,87,242.8999939,65,152,128.25075
11/24/2022 10:00,6.599999905,100,128,323.3999939,131,259,133.1038333
11/24/2022 11:00,7.5,100,143,395.6000061,155,298,154.77875
11/24/2022 12:00,7.300000191,100,119,214.3999939,21,140,100.8581667
11/24/2022 13:00,7.5,100,119,45,30,149,80.84858333
11/24/2022 14:00,7.900000095,89,102,104.5999985,46,148,99.24275
11/24/2022 15:00,7.5,100,61,164.6999969,41,102,14.99033333
11/24/2022 16:00,6.800000191,98,17,126.5999985,11,28,0
11/24/2022 17:00,6.199999809,88,0,0.100000001,0,0,0
11/24/2022 18:00,5.599999905,86,0,0,0,0,0
11/24/2022 19:00,5.099999905,77,0,0,0,0,0
11/24/2022 20:00,5.699999809,100,0,0,0,0,0
11/24/2022 21:00,5.599999905,100,0,0,0,0,0
11/24/2022 22:00,5.599999905,100,0,0,0,0,0
11/24/2022 23:00,5.199999809,81,0,0,0,0,0
11/25/2022 0:00,4.800000191,86,0,0,0,0,0
11/25/2022 1:00,4.099999905,96,0,0,0,0,0
11/25/2022 2:00,3.799999952,100,0,0,0,0,0
11/25/2022 3:00,4.199999809,75,0,0,0,0,0
11/25/2022 4:00,4.5,85,0,0,0,0,0
11/25/2022 5:00,4.5,100,0,0,0,0,0
11/25/2022 6:00,4.599999905,91,0,0,0,0,0.5685
11/25/2022 7:00,4.599999905,65,1,0,0,1,44.39908333
11/25/2022 8:00,4.599999905,72,29,0,7,36,150.5090833
11/25/2022 9:00,5.900000095,71,54,144.3999939,52,106,171.0769167
11/25/2022 10:00,6.699999809,32,93,191.3000031,53,146,138.2726667
11/25/2022 11:00,7.5,44,99,170.8999939,76,175,295.0994167
11/25/2022 12:00,7.900000095,59,145,136.6999969,44,189,398.9308333
11/25/2022 13:00,8.5,61,117,220.6000061,139,256,302.8075
11/25/2022 14:00,8.600000381,56,96,341.8999939,103,199,89.54066667
11/25/2022 15:00,8.100000381,39,67,282.3999939,56,123,29.61841667
11/25/2022 16:00,6.900000095,16,23,178.6000061,18,41,0.370083333
11/25/2022 17:00,6,9,0,0.100000001,0,0,0
11/25/2022 18:00,5.800000191,6,0,0,0,0,0
11/25/2022 19:00,4,5,0,0,0,0,0
11/25/2022 20:00,2.900000095,10,0,0,0,0,0
11/25/2022 21:00,1.899999976,31,0,0,0,0,0
11/25/2022 22:00,0.899999976,30,0,0,0,0,0
11/25/2022 23:00,0.400000006,4,0,0,0,0,0
11/26/2022 0:00,0,98,0,0,0,0,0
11/26/2022 1:00,-0.100000001,100,0,0,0,0,0
